present_only_in,from_bus,to_bus,circuit_id,row_count
gpu,15965,16052,2,31156
gpu,15965,16052,3,31156
gpu,15967,15200,2,31156
gpu,15976,15975,2,31156
gpu,15976,15975,3,31156
gpu,15980,15976,2,31156
gpu,15980,15976,3,31156
gpu,15980,16052,2,31156
gpu,15980,16052,3,31156
gpu,15985,16483,2,31156
gpu,15985,16483,3,31156
gpu,15999,15998,2,31156
gpu,15999,15998,3,31156
gpu,15999,16483,2,31156
gpu,15999,16483,3,31156
gpu,16004,15750,2,31156
gpu,16004,15750,3,31156
gpu,16022,16021,2,31156
gpu,16022,16021,3,31156
gpu,16022,16217,2,31156
gpu,16022,16217,3,31156
gpu,16071,15653,2,31156
gpu,16071,15653,3,31156
gpu,16071,16070,2,31156
gpu,16071,16070,3,31156
gpu,16071,16070,4,31156
gpu,16086,15456,2,31156
gpu,16086,15456,3,31156
gpu,16086,16085,2,31156
gpu,16086,16085,3,31156
gpu,16086,16085,4,31156
gpu,16094,15444,2,31156
gpu,16094,15468,2,31156
gpu,16096,15088,2,31156
gpu,16096,15088,3,31156
gpu,16131,15187,2,31156
gpu,16131,15187,3,31156
gpu,16131,16130,2,31156
gpu,16131,16130,3,31156
gpu,16138,16441,2,31156
gpu,16138,16441,3,31156
gpu,16164,16163,2,31156
gpu,16164,16163,3,31156
gpu,16169,25929,2,31156
gpu,16217,15684,2,31156
gpu,16236,16235,2,31156
gpu,16244,16182,2,31156
gpu,16245,16244,2,31156
gpu,16245,16244,3,31156
gpu,16259,16357,2,31156
gpu,16264,16263,2,31156
gpu,16264,16263,3,31156
gpu,16264,16263,4,31156
gpu,16264,45048,2,31156
gpu,16284,16283,2,31156
gpu,16284,16283,3,31156
gpu,16290,15055,2,31156
gpu,16290,15055,3,31156
gpu,16290,16289,2,31156
gpu,16290,16289,3,31156
gpu,16301,16287,2,31156
gpu,16301,16287,3,31156
gpu,16344,15670,2,31156
gpu,16344,15670,3,31156
gpu,16348,15007,2,31156
gpu,16348,15007,3,31156
gpu,16348,16347,2,31156
gpu,16348,16347,3,31156
gpu,16357,16394,2,31156
gpu,16357,63339,2,31156
gpu,16366,15039,2,31156
gpu,16366,15039,3,31156
gpu,16376,15848,2,31156
gpu,16379,15370,2,31156
gpu,16379,15370,3,31156
gpu,16379,16378,2,31156
gpu,16379,16378,3,31156
gpu,16390,15956,2,31156
gpu,16390,15956,3,31156
gpu,16390,25207,2,31156
gpu,16392,63346,2,31156
gpu,16392,63346,3,31156
gpu,16394,63419,2,31156
gpu,16426,15351,2,31156
gpu,16426,15351,3,31156
gpu,16426,16425,2,31156
gpu,16426,16425,3,31156
gpu,16441,15260,2,31156
