present_only_in,event_idx,contingency,row_count,gpu_converged,gpu_status_code,cpu_converged,cpu_status_code
gpu,169,BR_11328_11100_1,2121,True,OK,True,OK
gpu,170,BR_11101_11102_1,2121,True,OK,True,OK
gpu,171,BR_11175_11101_1,2121,True,OK,True,OK
gpu,172,BR_33212_11101_1,2121,True,OK,True,OK
gpu,173,BR_33236_11101_1,2121,True,OK,True,OK
gpu,174,BR_11103_11105_1,2121,True,OK,True,OK
gpu,175,BR_11103_11106_1,2121,True,OK,True,OK
gpu,176,BR_11103_11107_1,2121,True,OK,True,OK
gpu,177,BR_11104_11135_1,2121,True,OK,True,OK
gpu,178,BR_11187_11104_1,2121,True,OK,True,OK
gpu,179,BR_11136_11106_1,2121,True,OK,True,OK
gpu,180,BR_11108_11300_1,2121,True,OK,True,OK
gpu,181,BR_11109_11151_1,2121,True,OK,True,OK
gpu,182,BR_11448_11109_1,2121,True,OK,True,OK
gpu,183,BR_11110_11112_1,2121,True,OK,True,OK
gpu,184,BR_11124_11111_1,2121,True,OK,True,OK
gpu,185,BR_11116_11112_1,2121,True,OK,True,OK
gpu,186,BR_11117_11112_1,2121,True,OK,True,OK
gpu,187,BR_11112_11424_1,2121,True,OK,True,OK
gpu,188,BR_11113_11115_1,2121,True,OK,True,OK
gpu,189,BR_11113_11116_1,2121,True,OK,True,OK
gpu,190,BR_11114_11123_1,2121,True,OK,True,OK
gpu,191,BR_11114_11124_1,2121,True,OK,True,OK
gpu,192,BR_11116_11181_1,2121,True,OK,True,OK
gpu,193,BR_11448_11117_1,2121,True,OK,True,OK
gpu,194,BR_11118_11119_1,2121,True,OK,True,OK
gpu,195,BR_11210_11118_1,2121,True,OK,True,OK
gpu,196,BR_11118_11379_1,2121,True,OK,True,OK
gpu,197,BR_11118_11448_1,2121,True,OK,True,OK
gpu,198,BR_33212_11118_1,2121,True,OK,True,OK
gpu,199,BR_11120_11123_1,2121,True,OK,True,OK
gpu,200,BR_11120_11123_2,2121,True,OK,True,OK
gpu,201,BR_11120_11123_3,2121,True,OK,True,OK
gpu,202,BR_11120_11130_1,2121,True,OK,True,OK
gpu,203,BR_11148_11120_1,2121,True,OK,True,OK
gpu,204,BR_11120_11197_1,2121,True,OK,True,OK
gpu,205,BR_11121_11122_1,2121,True,OK,True,OK
gpu,207,BR_11123_11439_1,2121,True,OK,True,OK
gpu,208,BR_11123_11439_2,2121,True,OK,True,OK
gpu,209,BR_11123_11439_3,2121,True,OK,True,OK
gpu,210,BR_11124_11125_1,2121,True,OK,True,OK
gpu,211,BR_11124_11482_1,2121,True,OK,True,OK
gpu,212,BR_11126_11127_1,2121,True,OK,True,OK
gpu,213,BR_11126_11292_1,2121,True,OK,True,OK
gpu,214,BR_11369_11126_1,2121,True,OK,True,OK
gpu,215,BR_11128_11238_1,2121,True,OK,True,OK
gpu,216,BR_11128_11416_1,2121,True,OK,True,OK
gpu,217,BR_11128_11475_1,2121,True,OK,True,OK
gpu,218,BR_11128_11486_1,2121,True,OK,True,OK
gpu,219,BR_11129_11146_1,2121,True,OK,True,OK
gpu,220,BR_11129_11379_1,2121,True,OK,True,OK
gpu,221,BR_11463_11129_1,2121,True,OK,True,OK
gpu,222,BR_11130_11131_1,2121,True,OK,True,OK
gpu,223,BR_11130_11197_1,2121,True,OK,True,OK
gpu,224,BR_11130_11233_1,2121,True,OK,True,OK
gpu,225,BR_11486_11130_1,2121,True,OK,True,OK
gpu,226,BR_11132_11133_1,2121,True,OK,True,OK
gpu,227,BR_11132_11163_1,2121,True,OK,True,OK
gpu,228,BR_11132_11184_1,2121,True,OK,True,OK
gpu,229,BR_11134_11135_1,2121,True,OK,True,OK
gpu,230,BR_11137_11135_1,2121,True,OK,True,OK
gpu,231,BR_11137_11135_2,2121,True,OK,True,OK
gpu,232,BR_11136_11140_1,2121,True,OK,True,OK
gpu,233,BR_11136_11371_1,2121,True,OK,True,OK
gpu,234,BR_11136_11371_2,2121,True,OK,True,OK
gpu,235,BR_11143_11141_1,2121,True,OK,True,OK
